Drug,IsAgonist,AgonistTargetGeneID,AgonistTarget,AgonistTargetIndex,IsAntagonist,AntagonistTargetGeneID,AntagonistTarget,AntagonistTargetIndex,DrugAction,SimilarDrugs
Aripiprazole,No,;;;;;,,,Yes,ADRB1;ADRA2C;ADRA1A;ADRA1B;ADRB2;ADRA2B,aAR,1,Competitive,Esmolol;Betaxolol;Ranolazine;Metoprolol;Atenolol;Timolol;Sotalol;Lamotrigine;Propranolol;Labetalol;Bisoprolol;Alprenolol;Terbutaline;Carvedilol;Propafenone;Nadolol;Levobunolol;Metipranolol;Bevantolol;Practolol;Penbutolol;Oxprenolol;Celiprolol;Dronedarone;Nebivolol;Asenapine;Bupranolol;Arotinolol;Levobetaxolol
Aripiprazole,No,;;;;;,,,Yes,ADRB1;ADRA2C;ADRA1A;ADRA1B;ADRB2;ADRA2B,BAR,10,Competitive,Esmolol;Betaxolol;Ranolazine;Metoprolol;Atenolol;Timolol;Sotalol;Lamotrigine;Propranolol;Labetalol;Bisoprolol;Alprenolol;Terbutaline;Carvedilol;Propafenone;Nadolol;Levobunolol;Metipranolol;Bevantolol;Practolol;Penbutolol;Oxprenolol;Celiprolol;Dronedarone;Nebivolol;Asenapine;Bupranolol;Arotinolol;Levobetaxolol
Aripiprazole,No,;;;;;,,,Yes,ADRB1;ADRA2C;ADRA1A;ADRA1B;ADRB2;ADRA2B,aAR;BAR,1;10,Competitive,Esmolol;Betaxolol;Ranolazine;Metoprolol;Atenolol;Timolol;Sotalol;Lamotrigine;Propranolol;Labetalol;Bisoprolol;Alprenolol;Terbutaline;Carvedilol;Propafenone;Nadolol;Levobunolol;Metipranolol;Bevantolol;Practolol;Penbutolol;Oxprenolol;Celiprolol;Dronedarone;Nebivolol;Asenapine;Bupranolol;Arotinolol;Levobetaxolol
Regorafenib,No,;;;,,,Yes,MAPK11;FGFR2;RAF1;FGFR1,FGFR,38,Non-Competitive,
Regorafenib,No,;;;,,,Yes,MAPK11;FGFR2;RAF1;FGFR1,p38,79,Non-Competitive,
Regorafenib,No,;;;,,,Yes,MAPK11;FGFR2;RAF1;FGFR1,Raf1,91,Non-Competitive,
Regorafenib,No,;;;,,,Yes,MAPK11;FGFR2;RAF1;FGFR1,Raf1;FGFR,38;91,Non-Competitive,
Regorafenib,No,;;;,,,Yes,MAPK11;FGFR2;RAF1;FGFR1,p38;Raf1,79;91,Non-Competitive,
Regorafenib,No,;;;,,,Yes,MAPK11;FGFR2;RAF1;FGFR1,p38;FGFR,79;38,Non-Competitive,
Regorafenib,No,;;;,,,Yes,MAPK11;FGFR2;RAF1;FGFR1,p38;Raf1;FGFR,79;38;91,Non-Competitive,
Bosutinib,No,;;;,,,Yes,MAP3K2;MAP2K2;CAMK2G;MAP2K1,MEK12,65,Non-Competitive,Fostamatinib
Bosutinib,No,;;;,,,Yes,MAP3K2;MAP2K2;CAMK2G;MAP2K1,MAP3K23,61,Non-Competitive,Fostamatinib
Bosutinib,No,;;;,,,Yes,MAP3K2;MAP2K2;CAMK2G;MAP2K1,CaMK,16,Non-Competitive,Fostamatinib
Bosutinib,No,;;;,,,Yes,MAP3K2;MAP2K2;CAMK2G;MAP2K1,MAP3K23;CaMK,61;16,Non-Competitive,Fostamatinib
Bosutinib,No,;;;,,,Yes,MAP3K2;MAP2K2;CAMK2G;MAP2K1,MEK12;CaMK,65;16,Non-Competitive,Fostamatinib
Bosutinib,No,;;;,,,Yes,MAP3K2;MAP2K2;CAMK2G;MAP2K1,MAP3K23;MEK12,65;61,Non-Competitive,Fostamatinib
Bosutinib,No,;;;,,,Yes,MAP3K2;MAP2K2;CAMK2G;MAP2K1,MAP3K23;MEK12;CaMK,65;61;16,Non-Competitive,Fostamatinib
Irbesartan,No,;,,,Yes,JUN;AGTR1,cJun,22,Competitive,Adapalene
Irbesartan,No,;,,,Yes,JUN;AGTR1,AT1R,8,Competitive,Adapalene
Irbesartan,No,;,,,Yes,JUN;AGTR1,AT1R;cJun,22;8,Competitive,Adapalene
Zanubrutinib,No,;;;,,,Yes,ERBB4;ERBB2;JAK2;EGFR,EGFR,27,Non-Competitive,Afatinib;Fostamatinib;Brigatinib
Zanubrutinib,No,;;;,,,Yes,ERBB4;ERBB2;JAK2;EGFR,ERBB,31,Non-Competitive,Afatinib;Fostamatinib;Brigatinib
Zanubrutinib,No,;;;,,,Yes,ERBB4;ERBB2;JAK2;EGFR,JAK,57,Non-Competitive,Afatinib;Fostamatinib;Brigatinib
Zanubrutinib,No,;;;,,,Yes,ERBB4;ERBB2;JAK2;EGFR,JAK;ERBB,31;57,Non-Competitive,Afatinib;Fostamatinib;Brigatinib
Zanubrutinib,No,;;;,,,Yes,ERBB4;ERBB2;JAK2;EGFR,JAK;EGFR,27;57,Non-Competitive,Afatinib;Fostamatinib;Brigatinib
Zanubrutinib,No,;;;,,,Yes,ERBB4;ERBB2;JAK2;EGFR,EGFR;ERBB,27;31,Non-Competitive,Afatinib;Fostamatinib;Brigatinib
Zanubrutinib,No,;;;,,,Yes,ERBB4;ERBB2;JAK2;EGFR,JAK;EGFR;ERBB,27;31;57,Non-Competitive,Afatinib;Fostamatinib;Brigatinib
Brigatinib,No,;;;,,,Yes,IGF1R;EGFR;ERBB2;ERBB4,EGFR,27,Competitive,
Brigatinib,No,;;;,,,Yes,IGF1R;EGFR;ERBB2;ERBB4,ERBB,31,Competitive,
Brigatinib,No,;;;,,,Yes,IGF1R;EGFR;ERBB2;ERBB4,IGF1R,49,Competitive,
Brigatinib,No,;;;,,,Yes,IGF1R;EGFR;ERBB2;ERBB4,ERBB;IGF1R,49;31,Competitive,
Brigatinib,No,;;;,,,Yes,IGF1R;EGFR;ERBB2;ERBB4,EGFR;IGF1R,27;49,Competitive,
Brigatinib,No,;;;,,,Yes,IGF1R;EGFR;ERBB2;ERBB4,EGFR;ERBB,27;31,Competitive,
Brigatinib,No,;;;,,,Yes,IGF1R;EGFR;ERBB2;ERBB4,EGFR;ERBB;IGF1R,27;49;31,Competitive,
Fostamatinib,No,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,Yes,IKBKB;PRKACA;JAK1;PIK3CD;CAMK2G;PIK3CG;PRKACB;JAK2;GSK3B;CAMK2D;EGFR;FGFR2;CAMK2B;MAP3K3;MAP3K4;MAPKAPK5;FGFR1;PTK2;MAP2K2;MAP2K3;MAP3K2;MAP2K6;RAF1;MAP3K11;MAP2K5;ERBB2;PRKD1;FGFR3;CAMK2A;PIK3C2G;PIK3C2B;PDPK1;ERBB4;PRKCD;PRKCQ;MAPK13;MAPK14;PRKCI;MTOR;MAPK7;MAP3K1;PRKCE,FGFR,38,Non-Competitive,
Fostamatinib,No,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,Yes,IKBKB;PRKACA;JAK1;PIK3CD;CAMK2G;PIK3CG;PRKACB;JAK2;GSK3B;CAMK2D;EGFR;FGFR2;CAMK2B;MAP3K3;MAP3K4;MAPKAPK5;FGFR1;PTK2;MAP2K2;MAP2K3;MAP3K2;MAP2K6;RAF1;MAP3K11;MAP2K5;ERBB2;PRKD1;FGFR3;CAMK2A;PIK3C2G;PIK3C2B;PDPK1;ERBB4;PRKCD;PRKCQ;MAPK13;MAPK14;PRKCI;MTOR;MAPK7;MAP3K1;PRKCE,EGFR,27,Non-Competitive,
Fostamatinib,No,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,Yes,IKBKB;PRKACA;JAK1;PIK3CD;CAMK2G;PIK3CG;PRKACB;JAK2;GSK3B;CAMK2D;EGFR;FGFR2;CAMK2B;MAP3K3;MAP3K4;MAPKAPK5;FGFR1;PTK2;MAP2K2;MAP2K3;MAP3K2;MAP2K6;RAF1;MAP3K11;MAP2K5;ERBB2;PRKD1;FGFR3;CAMK2A;PIK3C2G;PIK3C2B;PDPK1;ERBB4;PRKCD;PRKCQ;MAPK13;MAPK14;PRKCI;MTOR;MAPK7;MAP3K1;PRKCE,ERBB,31,Non-Competitive,
